PaymentDate,PaymentAmount,Principal,Interest,initialOutstandingPrincipal,remainingOutstandingPrincipal
2018-01-25,NaN,NaN,0,5000,NaN
2018-02-25,NaN,NaN,NaN,NaN,NaN
2018-03-25,NaN,NaN,NaN,NaN,NaN
2018-04-25,NaN,NaN,NaN,NaN,NaN
2018-05-25,NaN,NaN,NaN,NaN,NaN
2018-06-25,NaN,NaN,NaN,NaN,NaN
2018-07-25,NaN,NaN,NaN,NaN,NaN
2018-08-25,NaN,NaN,NaN,NaN,NaN
2018-09-25,NaN,NaN,NaN,NaN,NaN
2018-10-25,NaN,NaN,NaN,NaN,NaN
2018-11-25,NaN,NaN,NaN,NaN,NaN
2018-12-25,NaN,NaN,NaN,NaN,NaN
2019-01-25,NaN,NaN,NaN,NaN,NaN
2019-02-25,NaN,NaN,NaN,NaN,NaN
2019-03-25,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN
2019-05-25,NaN,NaN,NaN,NaN,NaN
2019-06-25,NaN,NaN,NaN,NaN,NaN
2019-07-25,NaN,NaN,NaN,NaN,NaN
2019-08-25,NaN,NaN,NaN,NaN,NaN
2019-09-25,NaN,NaN,NaN,NaN,NaN
2019-10-25,NaN,NaN,NaN,NaN,NaN
2019-11-25,NaN,NaN,NaN,NaN,NaN
2019-12-25,NaN,NaN,NaN,NaN,NaN
